Ref,Val,Package,PosX,PosY,Rot,Side
"SW3","Choc V1","SW_Kailh_CPG135001D01-1U",-30.000000,-106.000000,0.000000,bottom
"SW4","Choc V1","SW_Kailh_CPG135001D01-1U",-52.000000,-106.000000,0.000000,bottom
"SW5","Choc V1","SW_Kailh_CPG135001D01-1U",-71.000000,-106.000000,0.000000,bottom
"SW6","Choc V1","SW_Kailh_CPG135001D01-1U",-90.000000,-106.000000,0.000000,bottom
"SW7","Choc V1","SW_Kailh_CPG135001D01-1U",-109.000000,-106.000000,0.000000,bottom
"SW8","Choc V1","SW_Kailh_CPG135001D01-1U",-128.000000,-106.000000,0.000000,bottom
"SW9","Choc V1 (COMBO)","SW_Kailh_CPG135001D01-1U2Ucombo",-156.500000,-106.000000,0.000000,bottom
"SW10","Choc V1","SW_Kailh_CPG135001D01-1U",-185.000000,-106.000000,0.000000,bottom
"SW11","Choc V1","SW_Kailh_CPG135001D01-1U",-204.000000,-106.000000,0.000000,bottom
"SW12","Choc V1","SW_Kailh_CPG135001D01-1U",-223.000000,-106.000000,0.000000,bottom
"SW13","Choc V1","SW_Kailh_CPG135001D01-1U",-242.000000,-106.000000,0.000000,bottom
"SW14","Choc V1","SW_Kailh_CPG135001D01-1U",-261.000000,-106.000000,0.000000,bottom
"SW15","Choc V1","SW_Kailh_CPG135001D01-1U",-30.000000,-87.000000,0.000000,bottom
"SW16","Choc V1","SW_Kailh_CPG135001D01-1U",-52.000000,-87.000000,0.000000,bottom
"SW17","Choc V1","SW_Kailh_CPG135001D01-1U",-71.000000,-87.000000,0.000000,bottom
"SW18","Choc V1","SW_Kailh_CPG135001D01-1U",-90.000000,-87.000000,0.000000,bottom
"SW19","Choc V1","SW_Kailh_CPG135001D01-1U",-109.000000,-87.000000,0.000000,bottom
"SW20","Choc V1","SW_Kailh_CPG135001D01-1U",-128.000000,-87.000000,0.000000,bottom
"SW21","Choc V1","SW_Kailh_CPG135001D01-1U",-147.000000,-87.000000,0.000000,bottom
"SW22","Choc V1","SW_Kailh_CPG135001D01-1U",-166.000000,-87.000000,0.000000,bottom
"SW23","Choc V1","SW_Kailh_CPG135001D01-1U",-185.000000,-87.000000,0.000000,bottom
"SW24","Choc V1","SW_Kailh_CPG135001D01-1U",-204.000000,-87.000000,0.000000,bottom
"SW25","Choc V1","SW_Kailh_CPG135001D01-1U",-223.000000,-87.000000,0.000000,bottom
"SW26","Choc V1","SW_Kailh_CPG135001D01-1U",-242.000000,-87.000000,0.000000,bottom
"SW27","Choc V1","SW_Kailh_CPG135001D01-1U",-261.000000,-87.000000,0.000000,bottom
"SW28","Choc V1","SW_Kailh_CPG135001D01-1U",-52.000000,-68.000000,0.000000,bottom
"SW29","Choc V1","SW_Kailh_CPG135001D01-1U",-71.000000,-68.000000,0.000000,bottom
"SW30","Choc V1","SW_Kailh_CPG135001D01-1U",-90.000000,-68.000000,0.000000,bottom
"SW31","Choc V1","SW_Kailh_CPG135001D01-1U",-109.000000,-68.000000,0.000000,bottom
"SW32","Choc V1","SW_Kailh_CPG135001D01-1U",-128.000000,-68.000000,0.000000,bottom
"SW33","Choc V1","SW_Kailh_CPG135001D01-1U",-147.000000,-68.000000,0.000000,bottom
"SW34","Choc V1","SW_Kailh_CPG135001D01-1U",-166.000000,-68.000000,0.000000,bottom
"SW35","Choc V1","SW_Kailh_CPG135001D01-1U",-185.000000,-68.000000,0.000000,bottom
"SW36","Choc V1","SW_Kailh_CPG135001D01-1U",-204.000000,-68.000000,0.000000,bottom
"SW37","Choc V1","SW_Kailh_CPG135001D01-1U",-223.000000,-68.000000,0.000000,bottom
"SW38","Choc V1","SW_Kailh_CPG135001D01-1U",-242.000000,-68.000000,0.000000,bottom
"SW39","Choc V1","SW_Kailh_CPG135001D01-1U",-261.000000,-68.000000,0.000000,bottom
"SW40","Choc V1","SW_Kailh_CPG135001D01-1U",-30.000000,-49.000000,0.000000,bottom
"SW41","Choc V1","SW_Kailh_CPG135001D01-1U",-52.000000,-49.000000,0.000000,bottom
"SW42","Choc V1","SW_Kailh_CPG135001D01-1U",-71.000000,-49.000000,0.000000,bottom
"SW43","Choc V1","SW_Kailh_CPG135001D01-1U",-90.000000,-49.000000,0.000000,bottom
"SW44","Choc V1","SW_Kailh_CPG135001D01-1U",-109.000000,-49.000000,0.000000,bottom
"SW45","Choc V1","SW_Kailh_CPG135001D01-1U",-128.000000,-49.000000,0.000000,bottom
"SW46","Choc V1","SW_Kailh_CPG135001D01-1U",-147.000000,-49.000000,0.000000,bottom
"SW47","Choc V1","SW_Kailh_CPG135001D01-1U",-166.000000,-49.000000,0.000000,bottom
"SW48","Choc V1","SW_Kailh_CPG135001D01-1U",-185.000000,-49.000000,0.000000,bottom
"SW49","Choc V1","SW_Kailh_CPG135001D01-1U",-204.000000,-49.000000,0.000000,bottom
"SW50","Choc V1","SW_Kailh_CPG135001D01-1U",-223.000000,-49.000000,0.000000,bottom
"SW51","Choc V1","SW_Kailh_CPG135001D01-1U",-242.000000,-49.000000,0.000000,bottom
"SW52","Choc V1","SW_Kailh_CPG135001D01-1U",-261.000000,-49.000000,0.000000,bottom
"SW53","Choc V1","SW_Kailh_CPG135001D01-1U",-30.000000,-30.000000,0.000000,bottom
"SW54","Choc V1","SW_Kailh_CPG135001D01-1U",-52.000000,-30.000000,0.000000,bottom
"SW55","Choc V1","SW_Kailh_CPG135001D01-1U",-71.000000,-30.000000,0.000000,bottom
"SW56","Choc V1","SW_Kailh_CPG135001D01-1U",-90.000000,-30.000000,0.000000,bottom
"SW57","Choc V1","SW_Kailh_CPG135001D01-1U",-109.000000,-30.000000,0.000000,bottom
"SW58","Choc V1","SW_Kailh_CPG135001D01-1U",-128.000000,-30.000000,0.000000,bottom
"SW59","Choc V1 (COMBO)","SW_Kailh_CPG135001D01-1U2Ucombo",-156.500000,-30.000000,0.000000,bottom
"SW60","Choc V1","SW_Kailh_CPG135001D01-1U",-185.000000,-30.000000,0.000000,bottom
"SW61","Choc V1","SW_Kailh_CPG135001D01-1U",-204.000000,-30.000000,0.000000,bottom
"SW62","Choc V1","SW_Kailh_CPG135001D01-1U",-223.000000,-30.000000,0.000000,bottom
"SW63","Choc V1","SW_Kailh_CPG135001D01-1U",-242.000000,-30.000000,0.000000,bottom
"SW64","Choc V1","SW_Kailh_CPG135001D01-1U",-261.000000,-30.000000,0.000000,bottom
